Range,Weight_N,Height_m,Story_Stiffness_Npm,Yeild_Strength_N,Hardning_Ratio
[1],[217416473],[10.17],[14548400177],  [1e10],[0]
[2],[217416473],[10.17],[6929400890],   [1e10],[0]
[3],[217416473],[10.17],[5411324092],   [1e10],[0]
[4],[217416473],[10.17],[4749678462],   [1e10],[0]
[5],[217416473],[10.17],[4354163302],   [1e10],[0]
[6],[217416473],[10.17],[4069146177],   [1e10],[0]
[7],[217416473],[10.17],[3839964839],   [1e10],[0]
[8],[217416473],[10.17],[3643985194],   [1e10],[0]
[9],[217416473],[10.17],[3470404971],   [1e10],[0]
[10],[217416473],[10.17],[3313158704],  [1e10],[0]
[11],[217416473],[10.17],[3168054043],  [1e10],[0]
[12],[217416473],[10.17],[3031317757],  [1e10],[0]
[13],[217416473],[10.17],[2898459910],  [1e10],[0]
[14],[217416473],[10.17],[2762610098],  [1e10],[0]
[15],[217416473],[10.17],[2612473251],  [1e10],[0]
[16],[217416473],[10.17],[2424290195],  [1e10],[0]
[17],[149918151.8],[10.17],[2163615222],[1e10],[0]
[18],[39766022.99],[5.08],[4979670507], [1e10],[0]

